"","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Store_Age"
"1",9.3,"Low",0.016047301,"Dairy",249.8092,"Medium","Tier 1","Supermarket Type1",3735.138,19
"2",5.92,"Regular",0.019278216,"Soft Drinks",48.2692,"Medium","Tier 3","Supermarket Type2",443.4228,9
"3",17.5,"Low",0.016760075,"Meat",141.618,"Medium","Tier 1","Supermarket Type1",2097.27,19
"4",19.2,"Regular",0,"Fruits and Vegetables",182.095,"Medium","Tier 3","Grocery Store",732.38,20
"5",8.93,"Low",0,"Household",53.8614,"High","Tier 3","Supermarket Type1",994.7052,31
"6",10.395,"Regular",0,"Baking Goods",51.4008,"Medium","Tier 3","Supermarket Type2",556.6088,9
"7",13.65,"Regular",0.012741089,"Snack Foods",57.6588,"High","Tier 3","Supermarket Type1",343.5528,31
"8",12.9878795546559,"Low",0.127469857,"Snack Foods",107.7622,"Medium","Tier 3","Supermarket Type3",4022.7636,33
"9",16.2,"Regular",0.016687114,"Frozen Foods",96.9726,"Small","Tier 2","Supermarket Type1",1076.5986,16
"10",19.2,"Regular",0.09444959,"Frozen Foods",187.8214,"Small","Tier 2","Supermarket Type1",4710.535,11
"11",11.8,"Low",0,"Fruits and Vegetables",45.5402,"Medium","Tier 1","Supermarket Type1",1516.0266,19
"12",18.5,"Regular",0.045463773,"Dairy",144.1102,"Small","Tier 1","Supermarket Type1",2187.153,21
"13",15.1,"Regular",0.1000135,"Fruits and Vegetables",145.4786,"Medium","Tier 1","Supermarket Type1",1589.2646,19
"14",17.6,"Regular",0.047257328,"Snack Foods",119.6782,"Small","Tier 1","Supermarket Type1",2145.2076,21
"15",16.35,"Low",0.0680243,"Fruits and Vegetables",196.4426,"High","Tier 3","Supermarket Type1",1977.426,31
"16",9,"Regular",0.069088961,"Breakfast",56.3614,"Small","Tier 1","Supermarket Type1",1547.3192,21
"17",11.8,"Low",0.008596051,"Health and Hygiene",115.3492,"Medium","Tier 3","Supermarket Type2",1621.8888,9
"18",9,"Regular",0.069196376,"Breakfast",54.3614,"Medium","Tier 1","Supermarket Type1",718.3982,19
"19",11.4003278688525,"Low",0.034237682,"Hard Drinks",113.2834,"Medium","Tier 3","Supermarket Type3",2303.668,33
"20",13.35,"Low",0.10249212,"Dairy",230.5352,"Small","Tier 2","Supermarket Type1",2748.4224,14
"21",18.85,"Regular",0.138190277,"Snack Foods",250.8724,"High","Tier 3","Supermarket Type1",3775.086,31
"22",12.2771082089552,"Regular",0.035399923,"Baking Goods",144.5444,"Medium","Tier 3","Supermarket Type3",4064.0432,33
"23",14.6,"Low",0.025698134,"Household",196.5084,"Small","Tier 2","Supermarket Type1",1587.2672,14
"24",12.2771082089552,"Low",0.057556998,"Baking Goods",107.6938,"Small","Tier 1","Grocery Store",214.3876,33
"25",13.85,"Regular",0.025896485,"Frozen Foods",165.021,"Small","Tier 1","Supermarket Type1",4078.025,21
"26",13,"Low",0.099887103,"Household",45.906,"Small","Tier 2","Supermarket Type1",838.908,11
"27",7.645,"Regular",0.066693437,"Snack Foods",42.3112,"Small","Tier 2","Supermarket Type1",1065.28,14
"28",11.65,"Low",0.019356132,"Hard Drinks",39.1164,"High","Tier 3","Supermarket Type1",308.9312,31
"29",5.925,"Regular",0.161466534,"Dairy",45.5086,"Medium","Tier 3","Grocery Store",178.4344,20
"30",12.3057050092764,"Regular",0.072221801,"Canned",43.6454,"Small","Tier 1","Grocery Store",125.8362,33
"31",19.25,"Low",0.170348551,"Dairy",55.7956,"Medium","Tier 3","Grocery Store",163.7868,20
"32",18.6,"Low",0.080829372,"Health and Hygiene",96.4436,"Medium","Tier 3","Supermarket Type2",2741.7644,9
"33",18.7,"Low",0,"Snack Foods",256.6672,"Medium","Tier 3","Supermarket Type2",3068.0064,9
"34",17.85,"Low",0,"Breads",93.1436,"Small","Tier 2","Supermarket Type1",2174.5028,16
"35",17.5,"Low",0.097904029,"Soft Drinks",174.8738,"Small","Tier 1","Supermarket Type1",2085.2856,21
"36",10,"Low",0.089291137,"Health and Hygiene",146.7102,"Medium","Tier 1","Supermarket Type1",3791.0652,19
"37",13.2247693817468,"Regular",0.059511812,"Fruits and Vegetables",128.0678,"Medium","Tier 3","Supermarket Type3",2797.6916,33
"38",8.85,"Regular",0.113123893,"Soft Drinks",122.5388,"Medium","Tier 3","Supermarket Type2",1609.9044,9
"39",12.9878795546559,"Regular",0.123111453,"Snack Foods",36.9874,"Medium","Tier 3","Supermarket Type3",388.1614,33
"40",12.9878795546559,"Low",0.026480954,"Snack Foods",87.6198,"Medium","Tier 3","Supermarket Type3",2180.495,33
"41",13.35,"Low",0.102511504,"Dairy",230.6352,"Small","Tier 1","Supermarket Type1",3435.528,21
"42",9.8,"Low",0.02681843,"Meat",126.002,"High","Tier 3","Supermarket Type1",2150.534,31
"43",13.6,"Low",0.117818348,"Snack Foods",192.9136,"Medium","Tier 1","Supermarket Type1",2527.3768,19
"44",21.35,"Low",0.069102831,"Canned",259.9278,"Medium","Tier 3","Supermarket Type2",6768.5228,9
"45",12.15,"Regular",0.042277867,"Canned",126.5046,"High","Tier 3","Supermarket Type1",373.5138,31
"46",6.42,"Low",0.089498926,"Dairy",178.1002,"Medium","Tier 3","Grocery Store",358.2004,20
"47",19.6,"Low",0,"Health and Hygiene",153.3024,"Small","Tier 2","Supermarket Type1",2428.8384,16
"48",10,"Low",0.025879577,"Canned",265.2226,"Small","Tier 2","Supermarket Type1",5815.0972,16
"49",15.85,"Regular",0.121632721,"Baking Goods",60.622,"Small","Tier 1","Supermarket Type1",2576.646,21
"50",13.4260689045936,"Regular",0.255394896,"Dairy",196.8794,"Small","Tier 1","Grocery Store",780.3176,33
"51",7.39,"Low",0.067779712,"Health and Hygiene",143.8812,"Small","Tier 1","Supermarket Type1",3134.5864,21
"52",10.195,"Low",0.159803853,"Frozen Foods",141.5154,"High","Tier 3","Supermarket Type1",850.8924,31
"53",9.895,"Regular",0.028696932,"Canned",117.0492,"High","Tier 3","Supermarket Type1",810.9444,31
"54",10.895,"Low",0.065041581,"Fruits and Vegetables",196.3794,"Small","Tier 2","Supermarket Type1",3121.2704,11
"55",12.15,"Low",0.028760013,"Household",151.4708,"Small","Tier 2","Supermarket Type1",4815.0656,11
"56",7.905,"Low",0.010053105,"Snack Foods",249.0408,"Medium","Tier 3","Supermarket Type2",6258.52,9
"57",9.195,"Low",0.048157338,"Household",106.1622,"Small","Tier 2","Supermarket Type1",2117.244,16
"58",8.365,"Low",0.071958197,"Hard Drinks",38.0506,"Medium","Tier 1","Supermarket Type1",796.9626,19
"59",15.1,"Low",0.173481304,"Snack Foods",194.511,"Small","Tier 1","Supermarket Type1",4910.275,21
"60",12.3057050092764,"Low",0.061082177,"Canned",180.0344,"Small","Tier 1","Grocery Store",892.172,33
"61",10,"Low",0,"Fruits and Vegetables",246.9144,"Medium","Tier 3","Supermarket Type2",3185.1872,9
"62",7.97,"Regular",0.040071131,"Meat",87.3514,"Small","Tier 2","Supermarket Type1",1062.6168,16
"63",13.2247693817468,"Low",0.012090074,"Fruits and Vegetables",38.2848,"Medium","Tier 3","Supermarket Type3",484.7024,33
"64",12.867061281337,"Regular",0.15028599,"Frozen Foods",51.0692,"Small","Tier 1","Grocery Store",147.8076,33
"65",12.9878795546559,"Low",0.026015519,"Snack Foods",255.8356,"Medium","Tier 3","Supermarket Type3",2543.356,33
